cowid,parity,calving_date,enrolled,GovID,calendardate,animalid,lyingtime,standingtime,rumination,notruminating,inactivity,activity,highactivity,lie_stand,ruminate_nonruminat,active_nonactive,expday
144,1,14/06/2022,1,UK344097508344,06/07/2022,UK344097508344,13.433333333,10.566666667,8.6666666667,15.333333333,7.9666666667,15.766666667,0.2666666667,24,24,23.733333333,22
153,2,03/07/2022,1,UK344097307803,25/07/2022,UK344097307803,9.9833333333,14.016666667,8.6833333333,15.316666667,4.75,18.366666667,0.9,24,24,23.116666667,22
154,6,20/06/2022,1,UK344097604558,12/07/2022,UK344097604558,12.616666667,11.383333333,11.1,12.9,4.25,19.116666667,0.6333333333,24,24,23.366666667,22
180,1,01/06/2022,1,UK344097408455,23/06/2022,UK344097408455,18.083333333,5.9166666667,10.85,13.15,8.3333333333,15.6,0.0666666667,24,24,23.933333333,22
182,1,22/06/2022,1,UK344097308538,14/07/2022,UK344097308538,11.233333333,12.766666667,10.066666667,13.933333333,5.4666666667,18.166666667,0.3666666667,24,24,23.633333333,22
201,1,20/06/2022,1,UK344097408511,12/07/2022,UK344097408511,12.516666667,11.483333333,11.35,12.65,6.65,16.3,1.05,24,24,22.95,22
202,4,16/06/2022,1,UK344097505775,08/07/2022,UK344097505775,12.766666667,11.233333333,11.733333333,12.266666667,6.5166666667,17.266666667,0.2166666667,24,24,23.783333333,22
240,5,06/05/2022,1,UK344097104609,28/05/2022,UK344097104609,7.5333333333,16.466666667,8.25,15.75,2.7333333333,16.6,4.6666666667,24,24,19.333333333,22
243,1,24/05/2022,1,UK344097408287,15/06/2022,UK344097408287,11.55,12.45,8.9166666667,15.083333333,5.4,15.766666667,2.8333333333,24,24,21.166666667,22
255,1,06/05/2022,1,UK344097208250,28/05/2022,UK344097208250,11.216666667,12.783333333,8.6,15.4,6.0666666667,17.566666667,0.3666666667,24,24,23.633333333,22
268,2,28/05/2022,1,UK344097207200,19/06/2022,UK344097207200,12.316666667,11.683333333,9.85,14.15,4.8666666667,18.3,0.8333333333,24,24,23.166666667,22
270,1,06/06/2022,1,UK344097508295,28/06/2022,UK344097508295,10.7,13.3,12.483333333,11.516666667,3.2833333333,20.4,0.3166666667,24,24,23.683333333,22
295,5,24/06/2022,1,UK344097105169,16/07/2022,UK344097105169,14.766666667,9.2333333333,10.166666667,13.833333333,9.4666666667,14.45,0.0833333333,24,24,23.916666667,22
331,3,01/06/2022,1,UK344097606665,23/06/2022,UK344097606665,15.316666667,8.6833333333,11.083333333,12.916666667,6.25,17.05,0.7,24,24,23.3,22
333,2,27/06/2022,1,UK344097307558,19/07/2022,UK344097307558,12.066666667,11.933333333,12.65,11.35,4.5333333333,19.433333333,0.0333333333,24,24,23.966666667,22
359,3,30/05/2022,1,UK344097106639,21/06/2022,UK344097106639,13.516666667,10.483333333,9.0166666667,14.983333333,9.1833333333,14.75,0.0666666667,24,24,23.933333333,22
416,3,04/05/2022,1,UK344097206703,26/05/2022,UK344097206703,10.083333333,13.916666667,11.283333333,12.716666667,5.3833333333,15.833333333,2.7833333333,24,24,21.216666667,22
423,3,24/06/2022,1,UK344097706666,16/07/2022,UK344097706666,11.183333333,12.816666667,10.15,13.85,4.8833333333,16.716666667,2.4,24,24,21.6,22
440,1,01/07/2022,1,UK344097508484,23/07/2022,UK344097508484,11.066666667,12.933333333,11.566666667,12.433333333,4.9166666667,18.733333333,0.35,24,24,23.65,22
447,4,11/06/2022,1,UK344097605461,03/07/2022,UK344097605461,12.783333333,11.216666667,9.9833333333,14.016666667,6.5333333333,17.216666667,0.25,24,24,23.75,22
450,1,10/06/2022,1,UK344097308517,02/07/2022,UK344097308517,13.916666667,10.083333333,10.15,13.85,4.9833333333,18.933333333,0.0833333333,24,24,23.916666667,22
459,3,15/06/2022,1,UK344097706918,07/07/2022,UK344097706918,12.25,11.75,9,15,5.7166666667,17.433333333,0.8666666667,24,24,23.15,22
462,1,26/05/2022,1,UK344097508470,17/06/2022,UK344097508470,10.666666667,13.333333333,11.883333333,12.116666667,3.4333333333,20.133333333,0.4333333333,24,24,23.566666667,22
