cowID,expday,exp_date,calving_date,est_calving_date,milksampling_date,my,faty,cpy,fatp,cpp,scc,sampling_date,milk_bhb,milk_cort,milk_crp,milk_hap,milk_sp,diagnosis_date,cm,da,v_temp,bcs,dys,lameness,ms_date,metriscore,pvd,animal,lie,stand,ruminate,inactive,active,highActive
111,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,IE161342242113 113,348,252,251,251,349,0
113,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,0,09/05/2021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
